"","p.2.5.","p.97.5.","q.2.5.","q.97.5.","mean2nd","species","phylum"
"54",0.643366475,0.8814663,0.0166497675,0.0340746325,0.7784531908,"Oncorhynchus mykiss","Teleostei"
"55",0.641920975,0.7849103,0.0053741925,0.01488088,0.7175874347,"Gambusia affinis","Teleostei"
"56",0.79549225,0.87488645,0.027294585,0.051373715,0.8385978897,"Hypophthalmichthys molitrix","Teleostei"
"57",0.7999355,0.865865275,0.0410152925,0.07173168,0.8355407986,"Devario apogon","Teleostei"
"58",0.85361435,0.971973125,0.0077892295,0.0194269475,0.9292511885,"Acipenser sinensis","Actinopteri"
"59",0.845282975,0.906076525,0.0341799275,0.05830962,0.8783547619,"Pseudorasbora parva","Teleostei"
"60",0.715719275,0.848589125,0.0091713575,0.02319354,0.7867557915,"Pseudecheneis gracilis","Teleostei"
"61",0.57902055,0.99400825,0.0019758795,0.0085114475,0.9004577176,"Monopterus albus","Teleostei"
"62",0.78013845,0.89111365,0.0337516625,0.0567607925,0.8415073046,"Paramisgurnus dabryanus","Teleostei"
"63",0.822990175,0.9612326,0.0019279175,0.00904993825,0.9096005692,"Gymnodiptychus integrigymnatus","Teleostei"
"64",0.545987,0.712170925,0.00316043925,0.0111947325,0.6320202181,"Pelteobagrus fulvidraco","Teleostei"
"65",0.735813675,0.88337685,0.01317851,0.0282419825,0.8178794056,"Micropercops swinhonis","Teleostei"
"66",0.616008875,0.757699625,0.0137908625,0.0312125925,0.6902312347,"Clarias gariepinus","Teleostei"
"67",0.31582855,0.511473875,0.0010246575,0.00795981825,0.4107430214,"Glyptothorax longinema","Teleostei"
"68",0.7065424,0.7812533,0.0684590725,0.115222775,0.7448474462,"Cyprinus carpio","Teleostei"
"69",0.33630775,0.565974275,0.00055709005,0.00566418425,0.4503976621,"Tinca tinca","Teleostei"
"70",0.57145575,0.994450325,0.0003891709,0.00485527875,0.8990194276,"Garra tengchongensis","Teleostei"
"71",0.5115133,0.994654025,0.00063879865,0.005604545,0.88703052529,"Syncrossus berdmorei","Teleostei"
