"","species","covariate","mean_effect","ci_lower","ci_upper"
"2.5%103","Misgurnus anguillicaudatus","rivernu",-5.21015602713702,-6.98686664034767,-3.45775139814908
"2.5%104","Pethia stoliczkana","TEMP",-0.383149922843764,-1.04486706233442,0.253835241077775
"2.5%105","Pethia stoliczkana","annual_precipitation",-0.639674630751487,-1.17301871289529,-0.1460796266933
"2.5%106","Pethia stoliczkana","Human_modification_1km",0.39820096293002,-0.122556289076332,0.925528563129562
"2.5%107","Pethia stoliczkana","Percent_of_forest_cover_1km",-0.0961748760586496,-0.80465278202155,0.606292710069
"2.5%108","Pethia stoliczkana","Patch_density_1km",-0.476271088229843,-1.16991863389273,0.183413449641782
"2.5%109","Pethia stoliczkana","Edge_density_1km",0.93711677899366,0.232993042617721,1.66120003073637
"2.5%110","Pethia stoliczkana","Reservoir_downstreamyes",-1.3133341177397,-2.46098301899108,-0.182622635421271
"2.5%111","Pethia stoliczkana","river_width",0.236831484652967,-0.153744378822475,0.629516810038322
"2.5%112","Pethia stoliczkana","water_velocity",-0.797823428771218,-1.29708484781298,-0.324285242267671
"2.5%113","Pethia stoliczkana","streamOriginoutsideGLGS",-1.97962915822441,-2.80437323292141,-1.20769347751425
"2.5%114","Pethia stoliczkana","riverdy",-2.92455075378271,-4.07464832816492,-1.82684218374172
"2.5%115","Pethia stoliczkana","riverlc",-4.2093605402252,-6.16724282091466,-2.35598323450583
"2.5%116","Pethia stoliczkana","rivernu",-5.39994254746933,-7.56831139956641,-3.26736281456915
"2.5%117","Hemiculter leucisculus","TEMP",-0.563448502229284,-1.26474792275135,0.122907110354025
"2.5%118","Hemiculter leucisculus","annual_precipitation",-1.00855196188101,-1.58055291689684,-0.48434739561252
"2.5%119","Hemiculter leucisculus","Human_modification_1km",0.783431463694488,0.224491517336845,1.37083949428953
"2.5%120","Hemiculter leucisculus","Percent_of_forest_cover_1km",-0.126352604433862,-0.855792296892945,0.616222365396623
"2.5%121","Hemiculter leucisculus","Patch_density_1km",-0.514095109223231,-1.26481539404623,0.22174521732805
"2.5%122","Hemiculter leucisculus","Edge_density_1km",0.820861554055078,0.06801336449693,1.59074676139973
"2.5%123","Hemiculter leucisculus","Reservoir_downstreamyes",-0.529412204491668,-1.75468832193022,0.713955898539025
"2.5%124","Hemiculter leucisculus","river_width",0.39690096267717,-0.022229839145285,0.859691382373635
"2.5%125","Hemiculter leucisculus","water_velocity",-0.683074776134202,-1.19202296444272,-0.186892788248118
"2.5%126","Hemiculter leucisculus","streamOriginoutsideGLGS",-2.20215725638311,-3.0889186320664,-1.3616766472978
"2.5%127","Hemiculter leucisculus","riverdy",-3.43200083610515,-4.68182774180399,-2.23110273575091
"2.5%128","Hemiculter leucisculus","riverlc",-5.08801314354059,-7.11024933786278,-3.1266550979533
"2.5%129","Hemiculter leucisculus","rivernu",-5.43189444144127,-7.5782530291347,-3.28356330969439
"2.5%130","Lepidocephalichthys berdmorei","TEMP",-1.21610599995125,-1.89401435339093,-0.58312083981357
"2.5%131","Lepidocephalichthys berdmorei","annual_precipitation",-0.871469798632059,-1.41604252309418,-0.372724932094265
"2.5%132","Lepidocephalichthys berdmorei","Human_modification_1km",-0.523076084789713,-1.03215756504286,-0.0508288065156751
"2.5%133","Lepidocephalichthys berdmorei","Percent_of_forest_cover_1km",-0.869618246502392,-1.5218013869133,-0.247257509739375
"2.5%134","Lepidocephalichthys berdmorei","Patch_density_1km",-0.932443103047564,-1.54510067932485,-0.3418322497767
"2.5%135","Lepidocephalichthys berdmorei","Edge_density_1km",0.952881203531992,0.312557693974425,1.58533875919877
"2.5%136","Lepidocephalichthys berdmorei","Reservoir_downstreamyes",-1.34183889680504,-2.43727866267979,-0.283686287861558
"2.5%137","Lepidocephalichthys berdmorei","river_width",0.17285278465237,-0.244538898059475,0.581102148472073
"2.5%138","Lepidocephalichthys berdmorei","water_velocity",-1.12320676592016,-1.60932067184049,-0.672320757581159
"2.5%139","Lepidocephalichthys berdmorei","streamOriginoutsideGLGS",-1.12061643461356,-1.80453671082179,-0.471306207292737
"2.5%140","Lepidocephalichthys berdmorei","riverdy",-1.70290391461506,-2.62206153117716,-0.859517694923877
"2.5%141","Lepidocephalichthys berdmorei","riverlc",-3.4452230043913,-5.18233367464595,-1.75622103018258
"2.5%142","Lepidocephalichthys berdmorei","rivernu",-4.24048784727263,-5.96959916107539,-2.49978003843015
"2.5%143","Danio roseus","TEMP",-0.672312689343106,-1.51452894568188,0.145008655147825
"2.5%144","Danio roseus","annual_precipitation",-0.741158467631954,-1.42566309041012,-0.099677516694745
"2.5%145","Danio roseus","Human_modification_1km",0.350253679411758,-0.361980689651625,1.02479104109617
"2.5%146","Danio roseus","Percent_of_forest_cover_1km",-0.223184295581082,-1.11045692267811,0.663018553716317
"2.5%147","Danio roseus","Patch_density_1km",-0.51894182321459,-1.35919624260658,0.318257153500075
"2.5%148","Danio roseus","Edge_density_1km",0.992568374633596,0.0975793941366151,1.90838660922797
"2.5%149","Danio roseus","Reservoir_downstreamyes",-1.89324900018969,-3.39237394645798,-0.445832285832276
"2.5%150","Danio roseus","river_width",0.163708386845928,-0.35776433623376,0.667827678787082
"2.5%151","Danio roseus","water_velocity",-1.02943583790076,-1.67360666812692,-0.420879978241635
"2.5%152","Danio roseus","streamOriginoutsideGLGS",-2.44259921260897,-3.48132215927694,-1.46949315259773
"2.5%153","Danio roseus","riverdy",-3.7204811354737,-5.18146490369602,-2.32098855671548
"2.5%154","Danio roseus","riverlc",-4.80691672943923,-7.29139953829258,-2.38401768189786
"2.5%155","Danio roseus","rivernu",-6.45012139379903,-9.21314832252568,-3.72453273927494
"2.5%156","Placocheilus cryptonemus","TEMP",-0.0162636979545692,-0.651955034346425,0.600978485404085
"2.5%157","Placocheilus cryptonemus","annual_precipitation",-0.547611104182824,-1.11938562129813,-0.0207877464398207
"2.5%158","Placocheilus cryptonemus","Human_modification_1km",1.19892979847214,0.618337918643947,1.80900211610807
"2.5%159","Placocheilus cryptonemus","Percent_of_forest_cover_1km",0.533781741753354,-0.15369627139024,1.21036537731962
"2.5%160","Placocheilus cryptonemus","Patch_density_1km",-0.0116164193256636,-0.67714514689055,0.64957031978297
"2.5%161","Placocheilus cryptonemus","Edge_density_1km",0.349353511459071,-0.329295984991755,1.04290620644507
"2.5%162","Placocheilus cryptonemus","Reservoir_downstreamyes",-0.593467463038435,-1.88601300100943,0.716089864888825
"2.5%163","Placocheilus cryptonemus","river_width",0.156372203445803,-0.268739888721142,0.607864698419278
"2.5%164","Placocheilus cryptonemus","water_velocity",-0.249215366984236,-0.713798115553022,0.202575596405002
"2.5%165","Placocheilus cryptonemus","streamOriginoutsideGLGS",-2.37261245971586,-3.31288430408298,-1.46377452189169
"2.5%166","Placocheilus cryptonemus","riverdy",-3.86792018127936,-5.22140467627413,-2.57485630574659
"2.5%167","Placocheilus cryptonemus","riverlc",-3.81778106445522,-5.81728446414015,-1.87684191646102
"2.5%168","Placocheilus cryptonemus","rivernu",-4.46603644618055,-6.58244177000891,-2.34658271870685
"2.5%169","Neosalanx taihuensis","TEMP",0.138578544475964,-0.63811257835329,0.903134502018174
"2.5%170","Neosalanx taihuensis","annual_precipitation",-0.223802759829327,-0.848433251288102,0.39745976681048
"2.5%171","Neosalanx taihuensis","Human_modification_1km",0.704619241985634,0.061048162657095,1.35804708674002
"2.5%172","Neosalanx taihuensis","Percent_of_forest_cover_1km",-0.205007726080779,-1.01442577636368,0.601324673135484
"2.5%173","Neosalanx taihuensis","Patch_density_1km",0.233554993782042,-0.51223034701654,0.998139608347387
"2.5%174","Neosalanx taihuensis","Edge_density_1km",1.06530935668493,0.272834901832075,1.8663929239615
"2.5%175","Neosalanx taihuensis","Reservoir_downstreamyes",-2.23882287219108,-3.6478795842121,-0.930112134714571
"2.5%176","Neosalanx taihuensis","river_width",0.294540779331162,-0.171436229060215,0.787638451039308
"2.5%177","Neosalanx taihuensis","water_velocity",-0.906003574881316,-1.49088457011529,-0.35149336074005
"2.5%178","Neosalanx taihuensis","streamOriginoutsideGLGS",-2.51379243662396,-3.47256690147612,-1.62512383223641
"2.5%179","Neosalanx taihuensis","riverdy",-3.19894388343397,-4.51289919475457,-1.88951129186878
"2.5%180","Neosalanx taihuensis","riverlc",-5.00631638430506,-7.30584363435934,-2.82849240555182
"2.5%181","Neosalanx taihuensis","rivernu",-7.47639603560854,-9.96996310160484,-5.05269006140283
"2.5%182","Creteuchiloglanis kamengensis","TEMP",0.414740269541271,-0.35727781274065,1.20053530259772
"2.5%183","Creteuchiloglanis kamengensis","annual_precipitation",-0.25671512880087,-0.849200653211025,0.31873423561507
"2.5%184","Creteuchiloglanis kamengensis","Human_modification_1km",1.33505318104064,0.693577501001995,2.04221790761326
"2.5%185","Creteuchiloglanis kamengensis","Percent_of_forest_cover_1km",0.531137195235419,-0.19917182506716,1.27721729401965
"2.5%186","Creteuchiloglanis kamengensis","Patch_density_1km",0.353638486116918,-0.38661442832582,1.09962192477373
"2.5%187","Creteuchiloglanis kamengensis","Edge_density_1km",0.477208815609685,-0.269623212367579,1.25364310824554
"2.5%188","Creteuchiloglanis kamengensis","Reservoir_downstreamyes",-0.984688850745761,-2.34942188695699,0.331185624803895
"2.5%189","Creteuchiloglanis kamengensis","river_width",0.216220168304011,-0.220844749615324,0.678786988468022
"2.5%190","Creteuchiloglanis kamengensis","water_velocity",-0.258170482340963,-0.78779233349861,0.24942370913421
"2.5%191","Creteuchiloglanis kamengensis","streamOriginoutsideGLGS",-2.48784029497761,-3.64496143708924,-1.42199291551715
"2.5%192","Creteuchiloglanis kamengensis","riverdy",-3.66909473079406,-5.30776030923646,-2.08385032293573
"2.5%193","Creteuchiloglanis kamengensis","riverlc",-4.05363591536007,-6.42677918134463,-1.80280074662006
"2.5%194","Creteuchiloglanis kamengensis","rivernu",-5.34694697859058,-8.11239686170928,-2.68785363238479
"2.5%195","Oryzias sinensis","TEMP",0.102593351801878,-0.720660474426265,0.9169543332079
"2.5%196","Oryzias sinensis","annual_precipitation",-0.116796588786609,-0.751578179588746,0.54509147780885
"2.5%197","Oryzias sinensis","Human_modification_1km",0.992109555922421,0.339193759723697,1.66846131695523
"2.5%198","Oryzias sinensis","Percent_of_forest_cover_1km",-0.236228762352052,-1.07630204568136,0.579161370275106
"2.5%199","Oryzias sinensis","Patch_density_1km",0.728816631967186,-0.0271911249618663,1.49794460075557
"2.5%200","Oryzias sinensis","Edge_density_1km",0.58988735144064,-0.224357765406317,1.42318271793572
"2.5%201","Oryzias sinensis","Reservoir_downstreamyes",-2.1814916949738,-3.62040769256554,-0.787313455762758
"2.5%202","Oryzias sinensis","river_width",0.18926399084969,-0.30957631302215,0.70325491243011
"2.5%203","Oryzias sinensis","water_velocity",-0.722192566305238,-1.29965052960282,-0.170849321127459
"2.5%204","Oryzias sinensis","streamOriginoutsideGLGS",-2.70160276931813,-3.67462628009109,-1.77305193035772
"2.5%205","Oryzias sinensis","riverdy",-3.61667924191082,-5.0079893068268,-2.26766900273295
"2.5%206","Oryzias sinensis","riverlc",-4.70423476370586,-6.94509715699262,-2.52358720947375
"2.5%207","Oryzias sinensis","rivernu",-7.14924111506134,-9.64284679504128,-4.7236213844538
"2.5%208","Ictalurus punctatus","TEMP",-0.394428397900973,-1.14387370030662,0.34596820581636
"2.5%209","Ictalurus punctatus","annual_precipitation",-0.662402075385348,-1.27256788193213,-0.0893881835721327
"2.5%210","Ictalurus punctatus","Human_modification_1km",0.705212383612133,0.103166710190511,1.32918746654041
"2.5%211","Ictalurus punctatus","Percent_of_forest_cover_1km",-0.227166869393225,-1.04541167284299,0.59419002438689
"2.5%212","Ictalurus punctatus","Patch_density_1km",-0.0985259554744166,-0.88961851653994,0.694758295024355
"2.5%213","Ictalurus punctatus","Edge_density_1km",0.628739364387825,-0.195575556291657,1.47166057693924
"2.5%214","Ictalurus punctatus","Reservoir_downstreamyes",-0.932668206118751,-2.26636571269235,0.355875530986522
"2.5%215","Ictalurus punctatus","river_width",0.285227619857641,-0.136022315300975,0.730155429263987
"2.5%216","Ictalurus punctatus","water_velocity",-0.636585940758413,-1.17608284282089,-0.13479359295463
"2.5%217","Ictalurus punctatus","streamOriginoutsideGLGS",-2.04950088099451,-3.02801737852434,-1.14721242937915
"2.5%218","Ictalurus punctatus","riverdy",-3.03960323026553,-4.44832477573051,-1.72003217540291
"2.5%219","Ictalurus punctatus","riverlc",-4.36529020645765,-6.6410088324592,-2.18210318318703
"2.5%220","Ictalurus punctatus","rivernu",-5.226055331928,-7.78807981483903,-2.73896963351155
"2.5%221","Triplophysa stenura","TEMP",0.353052330825149,-0.749198483839278,1.47066763386793
"2.5%222","Triplophysa stenura","annual_precipitation",-0.331290247973855,-1.2222734909538,0.557385527175697
"2.5%223","Triplophysa stenura","Human_modification_1km",1.60690019739439,0.577020239699497,2.69685735522658
"2.5%224","Triplophysa stenura","Percent_of_forest_cover_1km",0.352785233832182,-0.8182371075049,1.50954673765187
"2.5%225","Triplophysa stenura","Patch_density_1km",0.547810537185875,-0.52830323572749,1.6657437692811
"2.5%226","Triplophysa stenura","Edge_density_1km",0.848434118491679,-0.28271440805903,1.99021516168692
"2.5%227","Triplophysa stenura","Reservoir_downstreamyes",-2.1837502773217,-4.36514841190602,-0.11379930361505
"2.5%228","Triplophysa stenura","river_width",0.278343836936608,-0.373857358284775,0.948659706883152
"2.5%229","Triplophysa stenura","water_velocity",-0.70176932256764,-1.52051748380772,0.0811868432900469
"2.5%230","Triplophysa stenura","streamOriginoutsideGLGS",-3.68321001824129,-5.53718506084354,-1.9038673387105
"2.5%231","Triplophysa stenura","riverdy",-5.25401203672216,-7.88870704768657,-2.60298508777812
"2.5%232","Triplophysa stenura","riverlc",-6.19253142991587,-9.94496069516739,-2.59934782775168
"2.5%233","Triplophysa stenura","rivernu",-8.74245389044571,-13.1281207942188,-4.33291985955259
"2.5%234","Pteronemacheilus meridionalis","TEMP",-0.14925109774214,-0.567409135667225,0.286087819596735
"2.5%235","Pteronemacheilus meridionalis","annual_precipitation",0.158134018206121,-0.178771726879837,0.508896550844491
"2.5%236","Pteronemacheilus meridionalis","Human_modification_1km",-0.506416945862049,-0.846508488063157,-0.19791654004864
"2.5%237","Pteronemacheilus meridionalis","Percent_of_forest_cover_1km",-0.119322017652109,-0.54136837195855,0.313915592908817
"2.5%238","Pteronemacheilus meridionalis","Patch_density_1km",-0.256713384670121,-0.664842509596823,0.144588249735057
"2.5%239","Pteronemacheilus meridionalis","Edge_density_1km",0.571074106770847,0.149983631833735,1.00365153462701
"2.5%240","Pteronemacheilus meridionalis","Reservoir_downstreamyes",-1.85816939636112,-2.66009545286175,-1.1447323984146
"2.5%241","Pteronemacheilus meridionalis","river_width",-0.169390364788776,-0.464448419343842,0.0994290132303475
"2.5%242","Pteronemacheilus meridionalis","water_velocity",-0.624035851009249,-0.934442334702665,-0.351372461273757
"2.5%243","Pteronemacheilus meridionalis","streamOriginoutsideGLGS",-0.604085151727635,-1.03059717065552,-0.189892750101568
"2.5%244","Pteronemacheilus meridionalis","riverdy",-0.727905397209187,-1.2957752934755,-0.171648212855443
"2.5%245","Pteronemacheilus meridionalis","riverlc",-0.659913238381175,-1.72990288029954,0.434348672420625
"2.5%246","Pteronemacheilus meridionalis","rivernu",-2.42665153862204,-3.53393638462247,-1.34070221691756
"2.5%247","Dario dayingensis","TEMP",0.228562460079305,-0.55523069038639,1.02068815499033
"2.5%248","Dario dayingensis","annual_precipitation",-0.0142989100224907,-0.642030928547452,0.618844103844285
"2.5%249","Dario dayingensis","Human_modification_1km",0.803015159319678,0.186048807130035,1.44003084961733
"2.5%250","Dario dayingensis","Percent_of_forest_cover_1km",0.0124405195931539,-0.792101075033651,0.811525808284375
"2.5%251","Dario dayingensis","Patch_density_1km",0.504026587090297,-0.212610225903768,1.23161587944211
"2.5%252","Dario dayingensis","Edge_density_1km",0.642078488441828,-0.122294515658852,1.420181501403
"2.5%253","Dario dayingensis","Reservoir_downstreamyes",-2.13037151553382,-3.5845447402338,-0.755561089204203
"2.5%254","Dario dayingensis","river_width",0.113938747059657,-0.346138662248778,0.595678234990537
"2.5%255","Dario dayingensis","water_velocity",-0.648048690433881,-1.19504021035991,-0.110570870264943
"2.5%256","Dario dayingensis","streamOriginoutsideGLGS",-2.39610000531291,-3.27718637865163,-1.55670636361336
"2.5%257","Dario dayingensis","riverdy",-3.22214825868172,-4.48047889514377,-1.9837133615636
"2.5%258","Dario dayingensis","riverlc",-3.91873859479177,-6.0785551816629,-1.81077547822778
